beta_ratio,temperature,intervened_layer_entropy
0.1,0.0,0.2859624600969255
0.16,0.0,0.27134058132974637
0.22,0.0,0.2680617626239028
0.28,0.0,0.2664514816262656
0.35,0.0,0.2705623702560034
0.4,0.0,0.27062935123427045
0.45,0.0,0.2730801282450557
0.5,0.0,0.30666957267870504
0.55,0.0,0.3126279820377628
0.6,0.0,0.3026416713061432
0.7,0.0,0.2994401297118101
0.8,0.0,0.29693976308529574
0.9,0.0,0.29389111702847814
1.0,0.0,0.29416777804079985
1.0,0.7,0.295658598964413
1.0,1.0,0.2945175050171437
1.0,1.3,0.29684772028553263
1.0,1.6,0.3018147712573409
1.0,2.0,0.30232530613257375
1.0,2.5,0.3018736514883737
