condition,prompt_id,sample,beta_ratio,temperature,intervened_layers,attention_layer,attention_entropy
baseline,p000,0,1.0,0.0,all,0,0.4141988456249237
baseline,p000,0,1.0,0.0,all,1,0.19490276277065277
baseline,p000,0,1.0,0.0,all,2,0.18325558304786682
baseline,p000,0,1.0,0.0,all,3,0.27106380462646484
baseline,p000,0,1.0,0.0,all,4,0.303194135427475
baseline,p000,0,1.0,0.0,all,5,0.3300727605819702
baseline,p000,0,1.0,0.0,all,6,0.37998247146606445
baseline,p000,0,1.0,0.0,all,7,0.42512214183807373
baseline,p000,0,1.0,0.0,all,8,0.39247941970825195
baseline,p000,0,1.0,0.0,all,9,0.39483287930488586
baseline,p000,0,1.0,0.0,all,10,0.30552437901496887
baseline,p000,0,1.0,0.0,all,11,0.2678379416465759
baseline,p000,0,1.0,0.0,all,12,0.23046281933784485
baseline,p000,0,1.0,0.0,all,13,0.20053932070732117
baseline,p000,0,1.0,0.0,all,14,0.2246527522802353
baseline,p000,0,1.0,0.0,all,15,0.22825755178928375
baseline,p001,0,1.0,0.0,all,0,0.40388065576553345
baseline,p001,0,1.0,0.0,all,1,0.19960953295230865
baseline,p001,0,1.0,0.0,all,2,0.17231610417366028
baseline,p001,0,1.0,0.0,all,3,0.2715335488319397
baseline,p001,0,1.0,0.0,all,4,0.30710822343826294
baseline,p001,0,1.0,0.0,all,5,0.3364419639110565
baseline,p001,0,1.0,0.0,all,6,0.39357706904411316
baseline,p001,0,1.0,0.0,all,7,0.42903319001197815
baseline,p001,0,1.0,0.0,all,8,0.3943248987197876
baseline,p001,0,1.0,0.0,all,9,0.38286224007606506
baseline,p001,0,1.0,0.0,all,10,0.28872862458229065
baseline,p001,0,1.0,0.0,all,11,0.25754716992378235
baseline,p001,0,1.0,0.0,all,12,0.208540678024292
baseline,p001,0,1.0,0.0,all,13,0.18703338503837585
baseline,p001,0,1.0,0.0,all,14,0.1879463791847229
baseline,p001,0,1.0,0.0,all,15,0.21574236452579498
baseline,p002,0,1.0,0.0,all,0,0.38505762815475464
baseline,p002,0,1.0,0.0,all,1,0.19056344032287598
baseline,p002,0,1.0,0.0,all,2,0.18209664523601532
baseline,p002,0,1.0,0.0,all,3,0.2571319341659546
baseline,p002,0,1.0,0.0,all,4,0.28842693567276
baseline,p002,0,1.0,0.0,all,5,0.33136919140815735
baseline,p002,0,1.0,0.0,all,6,0.3795492351055145
baseline,p002,0,1.0,0.0,all,7,0.40989193320274353
baseline,p002,0,1.0,0.0,all,8,0.3783535957336426
baseline,p002,0,1.0,0.0,all,9,0.3882901966571808
baseline,p002,0,1.0,0.0,all,10,0.3049519658088684
baseline,p002,0,1.0,0.0,all,11,0.24847106635570526
baseline,p002,0,1.0,0.0,all,12,0.21285690367221832
baseline,p002,0,1.0,0.0,all,13,0.1926727294921875
baseline,p002,0,1.0,0.0,all,14,0.2014468014240265
baseline,p002,0,1.0,0.0,all,15,0.2160496711730957
baseline,p003,0,1.0,0.0,all,0,0.41066429018974304
baseline,p003,0,1.0,0.0,all,1,0.1916477531194687
baseline,p003,0,1.0,0.0,all,2,0.18670372664928436
baseline,p003,0,1.0,0.0,all,3,0.2599247097969055
baseline,p003,0,1.0,0.0,all,4,0.28957295417785645
baseline,p003,0,1.0,0.0,all,5,0.33039334416389465
baseline,p003,0,1.0,0.0,all,6,0.37751615047454834
baseline,p003,0,1.0,0.0,all,7,0.45090562105178833
baseline,p003,0,1.0,0.0,all,8,0.3933183550834656
baseline,p003,0,1.0,0.0,all,9,0.4011989235877991
baseline,p003,0,1.0,0.0,all,10,0.3080419600009918
baseline,p003,0,1.0,0.0,all,11,0.27057215571403503
baseline,p003,0,1.0,0.0,all,12,0.23816661536693573
baseline,p003,0,1.0,0.0,all,13,0.19900915026664734
baseline,p003,0,1.0,0.0,all,14,0.22596269845962524
baseline,p003,0,1.0,0.0,all,15,0.23946450650691986
baseline,p004,0,1.0,0.0,all,0,0.40988439321517944
baseline,p004,0,1.0,0.0,all,1,0.18848814070224762
baseline,p004,0,1.0,0.0,all,2,0.18760693073272705
