condition,prompt_id,associative_drift,perplexity,local_coherence,degree_entropy,clustering,global_efficiency
baseline,p000,0.2968488931655884,3.92170443943575,1.0,2.9354504285600993,0.7328330040880664,0.58
baseline,p001,0.175156831741333,3.474570939240245,1.0,2.877503075097935,0.7397278078389891,0.5799942054179341
baseline,p002,0.26913875341415405,3.090235006304927,1.0,2.742021343997531,0.730392016822604,0.58
baseline,p003,0.277199387550354,3.6686929106674944,1.0,3.080157197445899,0.71388203206484,0.5799891613602493
baseline,p004,0.31769871711730957,4.327128634392748,1.0,3.040264272618804,0.704213181217927,0.5799891613602493
baseline,p005,0.2909747362136841,3.1097696754040975,1.0,2.808205001966778,0.7299376866456291,0.58
baseline,p006,0.3048419952392578,4.123863577150159,1.0,3.0214954910525997,0.7022578263969287,0.5799891613602493
baseline,p007,0.3751203417778015,4.2296348458850686,1.0,2.8682781795444297,0.719337540914182,0.58
beta_0.45,p000,0.2930511236190796,2.8469705650940513,1.0,3.0007808807785095,0.7530465949539544,0.58
beta_0.45,p001,0.1291828155517578,29.546445233269242,0.47998962908740767,1.6366906277226252,0.5736167319139456,0.5695590327169274
beta_0.45,p002,0.2933364510536194,2.292611427665618,1.0,1.9955781460186048,0.6387462906166921,0.5799259944495837
beta_0.45,p003,0.2866644859313965,10.602979069775705,0.9446885666512101,3.124262668265815,0.7379073355717256,0.5799891613602493
beta_0.45,p004,0.2230702042579651,7.28137337771362,1.0,2.967197495158234,0.7691948209773156,0.5799891613602493
beta_0.45,p005,0.205269455909729,11.894710066697865,0.8521453828026962,1.6976234420322922,0.5618638331269012,0.5638095238095238
beta_0.45,p006,0.41770827770233154,7.746528342651505,1.0,3.0991989607682795,0.754212874105949,0.5799891613602493
beta_0.45,p007,0.07958942651748657,83.83760427520073,0.3198672881155641,1.7579477306934685,0.5230703184394749,0.546401515151515
