layer,flattened,output_rel_l2_shift,output_cosine_shift,entropy_shift,mean_maxprob_baseline,n
0,False,0.0,5.21540641784668e-08,0.0,0.735006682574749,8
1,False,0.0,1.341104507446289e-07,0.0,0.8455178588628769,8
2,True,1.652302013296482,0.43786564469337463,0.3667696453630924,0.8699512183666229,8
3,True,1.3347396139276493,0.45916616171598434,0.3164758123457432,0.7786456793546677,8
4,False,0.8442410957998169,0.35733848065137863,-0.07707495614886284,0.7631640210747719,8
5,False,0.7299243344248421,0.2761897072196007,-0.056950341910123825,0.7475069388747215,8
6,False,0.7426558051426996,0.2825576588511467,-0.04530240222811699,0.6716827675700188,8
7,False,0.6217129953893868,0.20730770379304886,-0.025334343314170837,0.7159093394875526,8
8,False,0.6424678950693232,0.22045882046222687,-0.041719209402799606,0.7064352482557297,8
9,False,0.6926933666545043,0.22802889347076416,-0.011706933379173279,0.6836050301790237,8
10,False,0.610179859761707,0.1938980668783188,-0.028113819658756256,0.7503020912408829,8
11,False,0.5818527914461903,0.16006193310022354,-0.00802500918507576,0.8061176985502243,8
12,False,0.548142680643958,0.14814023673534393,0.00578555092215538,0.7953471690416336,8
13,False,0.5730694649851875,0.15436116605997086,0.015123752877116203,0.8207104355096817,8
14,False,0.5717704180014394,0.14272955060005188,0.013491595163941383,0.8107371628284454,8
15,False,0.4327334150607258,0.09789708256721497,0.009354375302791595,0.7949908599257469,8
