layer,flattened,output_rel_l2_shift,output_cosine_shift,entropy_shift,mean_maxprob_baseline,n
0,True,0.715102272826101,0.2639632672071457,0.31315093487501144,0.735006682574749,8
1,True,1.359092801096665,0.44925137981772423,0.3854583203792572,0.8455178588628769,8
2,True,2.046178874663396,0.5980645604431629,0.3928739130496979,0.8699512183666229,8
3,True,1.6703382683029788,0.6080622896552086,0.34297672286629677,0.7786456793546677,8
4,True,1.5703616459891405,0.6649437937885523,0.30639712512493134,0.7631640210747719,8
5,True,1.2961631825128743,0.6722150519490242,0.2842148244380951,0.7475069388747215,8
6,True,1.2736518635709302,0.6375698149204254,0.21527059376239777,0.6716827675700188,8
7,True,1.1362071676798688,0.561908483505249,0.23830558359622955,0.7159093394875526,8
8,True,1.1855347898060333,0.5823707990348339,0.20323820412158966,0.7064352482557297,8
9,True,1.2252741456907763,0.6060007475316525,0.23211953416466713,0.6836050301790237,8
10,True,1.333271373794604,0.5740299895405769,0.23260245472192764,0.7503020912408829,8
11,True,1.3283133191706125,0.5644515305757523,0.26366851665079594,0.8061176985502243,8
12,True,1.3529401453533427,0.5533361881971359,0.23958891071379185,0.7953471690416336,8
13,True,1.3951816654619813,0.5992580614984035,0.21264279074966908,0.8207104355096817,8
14,True,1.4866708922996872,0.4891260340809822,0.23930174112319946,0.8107371628284454,8
15,True,1.0648785866041495,0.4264019727706909,0.2939499765634537,0.7949908599257469,8
